year,decisions,patients,disease_control_pct,objective_response_pct
2004.0,1,1,100.0,100.0
2006.0,1,1,100.0,100.0
2008.0,1,1,100.0,100.0
2009.0,12,10,91.66666666666666,66.66666666666666
2010.0,30,27,89.65517241379311,65.51724137931035
2011.0,30,23,90.0,73.33333333333333
2012.0,17,15,82.35294117647058,70.58823529411765
2013.0,12,11,72.72727272727273,45.45454545454545
2014.0,34,29,69.6969696969697,36.36363636363637
2015.0,63,55,78.68852459016394,50.81967213114754
2016.0,79,70,63.013698630136986,42.465753424657535
2017.0,90,76,58.0246913580247,35.80246913580247
2018.0,114,95,74.75728155339806,50.48543689320388
2019.0,84,72,65.78947368421053,36.8421052631579
2020.0,60,49,56.36363636363636,36.36363636363637
2021.0,4,4,75.0,50.0
