column,missing_count,missing_pct,unique_values
pdl1_value,546,85.71,26
label_disease_control,44,6.91,2
label_objective_response,44,6.91,2
t_decision,5,0.78,551
prior_drug_set,2,0.31,164
prior_last_code,2,0.31,6
prior_regimen_class_set,2,0.31,26
age_group,0,0.0,3
alk_status,0,0.0,3
cand_class_seen_before,0,0.0,2
cand_reuses_prior_drug,0,0.0,2
candidate_regimen_class,0,0.0,7
comorbidity_any,0,0.0,2
decision_id,0,0.0,637
decision_line,0,0.0,3
diagnosis_year,0,0.0,17
egfr_status,0,0.0,4
gender,0,0.0,2
histology,0,0.0,7
is_nsclc,0,0.0,1
molmar_tested,0,0.0,2
n_comorbidity,0,0.0,4
n_prior_distinct_drugs,0,0.0,7
n_prior_lines,0,0.0,3
outcome_key,0,0.0,6
patient_id,0,0.0,391
patient_key,0,0.0,391
prior_alk_inhibitor_exposed,0,0.0,2
prior_alk_inhibitor_progressed,0,0.0,2
prior_any_progression,0,0.0,2
prior_best_was_response,0,0.0,2
prior_egfr_tki_exposed,0,0.0,2
prior_egfr_tki_progressed,0,0.0,2
prior_io_exposed,0,0.0,2
prior_platinum_exposed,0,0.0,2
progression_before_decision,0,0.0,7
regimen_class,0,0.0,7
regimen_key,0,0.0,57
regimen_name,0,0.0,57
resp_code,0,0.0,6
smoking,0,0.0,4
stage_initial,0,0.0,11
