drug_key,drug_name
1,Abemaciclib
2,Afatinib
3,Alectinib
4,Atezolizumab
5,Bavituximab
6,Bevacizumab
7,Brigatinib
8,Capecitabine
9,Capmatinib
10,Carboplatin
11,Ceritinib
12,Cetuximab
13,Cisplatin
14,Crizotinib
15,Custirsen(OGX-011)
16,Cyclophosphamide
17,Dabrafenib
18,Daratumumab
19,Demcizumab
20,Docetaxel
21,Doxorubicin
22,Durvalumab (MEDI4736)
23,Emibetuzumab (LY2875358)
24,Erlotinib
25,Etoposide VP16
26,Everolimus
27,Ganetespib
28,Gefitinib
29,Gemcitabine
30,Ipilimumab
31,Irinotecan
32,Irvalec
33,Lorlatinib
34,Lurbinectedin(PM1183)
35,Necitumumab
36,Nintedanib
37,Nivolumab
38,Olaparib
39,Onartuzumab (MetMAb)
40,Osimertinib
41,PM060184
42,Paclitaxel
43,Pembrolizumab
44,Pemetrexed
45,Prexasertib(LY2606368)
46,Temozolomide
47,Topotecan
48,Trabectidina
49,Trametinib
50,Vadimezan (ASA404)
51,Veliparib (ABT-888)
52,Vincristine
53,Vinorelbine
