arm,fold,seed,MRR,Hits@1,Hits@3,Hits@10,n_queries,mean_candidates,n_rules
CN,0,0,0.5440851616777476,0.3939393939393939,0.6212121212121212,0.8787878787878788,396,38.505050505050505,68
AA,0,0,0.5569461788473302,0.41919191919191917,0.6212121212121212,0.8838383838383839,396,38.505050505050505,68
RND,0,0,0.12509142860560668,0.030303030303030304,0.10606060606060606,0.2828282828282828,396,38.505050505050505,68
AMIE_std,0,0,0.33879483388247494,0.17676767676767677,0.35353535353535354,0.8080808080808081,396,38.505050505050505,68
AMIE_pca,0,0,0.36633851830153075,0.1919191919191919,0.42424242424242425,0.8333333333333334,396,38.505050505050505,68
RandomReference,0,0,0.11162982116895175,0.02651479921130097,0.0795443976339029,0.2651479921130097,396,38.505050505050505,0
CN,1,0,0.5936379816700272,0.46464646464646464,0.6414141414141414,0.9141414141414141,396,38.93939393939394,68
AA,1,0,0.6000592119548939,0.4696969696969697,0.6464646464646465,0.9141414141414141,396,38.93939393939394,68
RND,1,0,0.11907230927950672,0.030303030303030304,0.10606060606060606,0.2777777777777778,396,38.93939393939394,68
AMIE_std,1,0,0.31366277049532754,0.11616161616161616,0.3484848484848485,0.8434343434343434,396,38.93939393939394,68
AMIE_pca,1,0,0.34216866835252707,0.14646464646464646,0.3838383838383838,0.8434343434343434,396,38.93939393939394,68
RandomReference,1,0,0.11062522243503148,0.026201512269929724,0.07860453680978918,0.2620151226992972,396,38.93939393939394,0
CN,2,0,0.5597474903366733,0.41414141414141414,0.6161616161616161,0.8787878787878788,396,39.38383838383838,68
AA,2,0,0.5554255356359307,0.41414141414141414,0.6313131313131313,0.8787878787878788,396,39.38383838383838,68
RND,2,0,0.11781385926444277,0.025252525252525252,0.10101010101010101,0.2828282828282828,396,39.38383838383838,68
AMIE_std,2,0,0.3258342992353749,0.14646464646464646,0.37373737373737376,0.8131313131313131,396,39.38383838383838,68
AMIE_pca,2,0,0.3405636943574367,0.16666666666666666,0.3838383838383838,0.8282828282828283,396,39.38383838383838,68
RandomReference,2,0,0.10951814572692659,0.02585156521091824,0.07755469563275472,0.25851565210918237,396,39.38383838383838,0
CN,3,0,0.611740081390061,0.4642857142857143,0.6989795918367347,0.9183673469387755,392,38.474489795918366,68
AA,3,0,0.6015113928450458,0.44387755102040816,0.6938775510204082,0.9285714285714286,392,38.474489795918366,68
RND,3,0,0.09647480137955433,0.015306122448979591,0.04591836734693878,0.2857142857142857,392,38.474489795918366,68
AMIE_std,3,0,0.31589111944251663,0.12755102040816327,0.37244897959183676,0.8112244897959183,392,38.474489795918366,68
AMIE_pca,3,0,0.3498901974272284,0.16326530612244897,0.40816326530612246,0.8520408163265306,392,38.474489795918366,68
RandomReference,3,0,0.11142670815652574,0.02643638700721563,0.0793094170216469,0.26436387007215634,392,38.474489795918366,0
CN,4,0,0.5627903476921772,0.42857142857142855,0.6071428571428571,0.8826530612244898,392,38.65816326530612,68
AA,4,0,0.5593217358051978,0.40816326530612246,0.6530612244897959,0.8826530612244898,392,38.65816326530612,68
RND,4,0,0.10346769631898124,0.02040816326530612,0.07653061224489796,0.23979591836734693,392,38.65816326530612,68
AMIE_std,4,0,0.3367405112495171,0.14285714285714285,0.413265306122449,0.8112244897959183,392,38.65816326530612,68
AMIE_pca,4,0,0.3579554282981605,0.1683673469387755,0.42857142857142855,0.8214285714285714,392,38.65816326530612,68
RandomReference,4,0,0.11128187846900689,0.026405779075168,0.07921733122550398,0.26405777075167997,392,38.65816326530612,0
